Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Product_Navigation_Reptiles,TestCloud - Windows - Edge Chromium 130,,,05-10-2024 10:34:23,05-10-2024 10:35:32,1m - 8.907s,PASSED
,,,,,,,
Test Cases/Product_Navigation_Reptiles,TestCloud - Windows - Edge Chromium 130,,,05-10-2024 10:34:42,05-10-2024 10:35:32,50.641s,PASSED
"openBrowser("""")",TestCloud - Windows - Edge Chromium 130,,,05-10-2024 10:34:42,05-10-2024 10:35:16,34.707s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",TestCloud - Windows - Edge Chromium 130,,,05-10-2024 10:35:16,05-10-2024 10:35:17,0.861s,PASSED
"click(findTestObject(""Object Repository/Reptiles/Page_JPetStore Demo/a_Enter the Store""))",TestCloud - Windows - Edge Chromium 130,,,05-10-2024 10:35:17,05-10-2024 10:35:20,2.326s,PASSED
"click(findTestObject(""Object Repository/Reptiles/Page_JPetStore Demo/img""))",TestCloud - Windows - Edge Chromium 130,,,05-10-2024 10:35:20,05-10-2024 10:35:21,1.708s,PASSED
"click(findTestObject(""Object Repository/Reptiles/Page_JPetStore Demo/a_RP-SN-01""))",TestCloud - Windows - Edge Chromium 130,,,05-10-2024 10:35:21,05-10-2024 10:35:23,1.616s,PASSED
"click(findTestObject(""Object Repository/Reptiles/Page_JPetStore Demo/a_EST-11""))",TestCloud - Windows - Edge Chromium 130,,,05-10-2024 10:35:23,05-10-2024 10:35:25,1.875s,PASSED
"click(findTestObject(""Object Repository/Reptiles/Page_JPetStore Demo/a_Add to Cart""))",TestCloud - Windows - Edge Chromium 130,,,05-10-2024 10:35:25,05-10-2024 10:35:26,1.600s,PASSED
"click(findTestObject(""Object Repository/Reptiles/Page_JPetStore Demo/a_Proceed to Checkout""))",TestCloud - Windows - Edge Chromium 130,,,05-10-2024 10:35:26,05-10-2024 10:35:28,1.631s,PASSED
"click(findTestObject(""Object Repository/Reptiles/Page_JPetStore Demo/img""))",TestCloud - Windows - Edge Chromium 130,,,05-10-2024 10:35:28,05-10-2024 10:35:30,1.585s,PASSED
"click(findTestObject(""Object Repository/Reptiles/Page_JPetStore Demo/a_Return to Main Menu""))",TestCloud - Windows - Edge Chromium 130,,,05-10-2024 10:35:30,05-10-2024 10:35:31,1.614s,PASSED
closeBrowser(),TestCloud - Windows - Edge Chromium 130,,,05-10-2024 10:35:31,05-10-2024 10:35:32,1.098s,PASSED
