Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Product_Navigation_Birds,TestCloud - Windows - Chrome 130.0.0.0,,,05-10-2024 11:02:03,05-10-2024 11:03:41,1m - 38.082s,PASSED
,,,,,,,
Test Cases/Product_Navigation_Birds,TestCloud - Windows - Chrome 130.0.0.0,,,05-10-2024 11:02:03,05-10-2024 11:03:41,1m - 37.894s,PASSED
"openBrowser("""")",TestCloud - Windows - Chrome 130.0.0.0,,,05-10-2024 11:02:03,05-10-2024 11:03:23,1m - 19.677s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",TestCloud - Windows - Chrome 130.0.0.0,,,05-10-2024 11:03:23,05-10-2024 11:03:25,2.387s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/a_Enter the Store""))",TestCloud - Windows - Chrome 130.0.0.0,,,05-10-2024 11:03:25,05-10-2024 11:03:28,2.453s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/img""))",TestCloud - Windows - Chrome 130.0.0.0,,,05-10-2024 11:03:28,05-10-2024 11:03:29,1.522s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/a_AV-CB-01""))",TestCloud - Windows - Chrome 130.0.0.0,,,05-10-2024 11:03:29,05-10-2024 11:03:31,1.675s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/a_EST-18""))",TestCloud - Windows - Chrome 130.0.0.0,,,05-10-2024 11:03:31,05-10-2024 11:03:33,2.022s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/a_Add to Cart""))",TestCloud - Windows - Chrome 130.0.0.0,,,05-10-2024 11:03:33,05-10-2024 11:03:35,1.581s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/a_Proceed to Checkout""))",TestCloud - Windows - Chrome 130.0.0.0,,,05-10-2024 11:03:35,05-10-2024 11:03:36,1.523s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/img""))",TestCloud - Windows - Chrome 130.0.0.0,,,05-10-2024 11:03:36,05-10-2024 11:03:38,1.616s,PASSED
"click(findTestObject(""Object Repository/Birds/Page_JPetStore Demo/a_Return to Main Menu""))",TestCloud - Windows - Chrome 130.0.0.0,,,05-10-2024 11:03:38,05-10-2024 11:03:40,1.655s,PASSED
closeBrowser(),TestCloud - Windows - Chrome 130.0.0.0,,,05-10-2024 11:03:40,05-10-2024 11:03:41,1.504s,PASSED
