Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SignIn_SignOut,Chrome 129.0.0.0,,,05-10-2024 14:25:13,05-10-2024 14:26:25,1m - 11.468s,PASSED
,,,,,,,
Test Cases/SignIn_SignOut,Chrome 129.0.0.0,,,05-10-2024 14:25:14,05-10-2024 14:26:25,1m - 11.233s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,05-10-2024 14:25:14,05-10-2024 14:25:16,2.376s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 129.0.0.0,,,05-10-2024 14:25:16,05-10-2024 14:25:17,1.125s,PASSED
"click(findTestObject(""Object Repository/SignIn_SignOut/Page_JPetStore Demo/a_Enter the Store""))",Chrome 129.0.0.0,,,05-10-2024 14:25:17,05-10-2024 14:25:19,1.210s,PASSED
"click(findTestObject(""Object Repository/SignIn_SignOut/Page_JPetStore Demo/a_Sign In""))",Chrome 129.0.0.0,,,05-10-2024 14:25:19,05-10-2024 14:25:19,0.628s,PASSED
"setText(findTestObject(""Object Repository/SignIn_SignOut/Page_JPetStore Demo/input_Need a user name and password_username""), ""mohan"")",Chrome 129.0.0.0,,,05-10-2024 14:25:19,05-10-2024 14:26:22,1m - 2.915s,PASSED
"setText(findTestObject(""Object Repository/SignIn_SignOut/Page_JPetStore Demo/input_Need a user name and password_password""), ""mohan"")",Chrome 129.0.0.0,,,05-10-2024 14:26:22,05-10-2024 14:26:23,0.787s,PASSED
"click(findTestObject(""Object Repository/SignIn_SignOut/Page_JPetStore Demo/input_Need a user name and password_signon""))",Chrome 129.0.0.0,,,05-10-2024 14:26:23,05-10-2024 14:26:24,0.800s,PASSED
"click(findTestObject(""Object Repository/SignIn_SignOut/Page_JPetStore Demo/a_Sign Out""))",Chrome 129.0.0.0,,,05-10-2024 14:26:24,05-10-2024 14:26:25,0.780s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,05-10-2024 14:26:25,05-10-2024 14:26:25,0.309s,PASSED
